,ID_boy,ID_girl,within_classification,stress,stressGroup,42set_ID,between_classification_all,between_stressGroup,between_gender,39set_ID,between_classification,between_stressGroup.1,33set_ID,between_classification.1,between_stressGroup.2,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
0,1.0,,0.81,22.0,H,1.0,0.81,0.81,0.722,1.0,0.81,0.78,1.0,0.889,0.86,,,,,,,
1,2.0,,0.89,10.0,L,2.0,0.92,0.81,0.611,2.0,0.86,0.78,2.0,0.861,0.75,,,,,,,
2,3.0,,0.64,19.0,H,3.0,0.75,0.61,0.722,3.0,0.72,0.72,3.0,0.75,0.69,,,,,,,
3,4.0,,0.75,17.0,M,4.0,0.81,0.83,0.611,4.0,0.86,0.81,4.0,0.639,0.61,,,,,,,
4,5.0,,0.56,23.0,H,5.0,0.64,0.58,0.722,5.0,0.67,0.56,5.0,0.889,0.81,,,,,,,
5,6.0,,0.72,14.0,M,6.0,0.72,0.69,0.722,6.0,0.67,0.67,6.0,0.861,0.83,,,,,,,
6,7.0,,0.75,9.0,L,7.0,0.67,0.64,0.861,7.0,0.61,0.67,7.0,0.833,0.86,,,,,,,
7,8.0,,0.94,18.0,M,8.0,0.89,0.92,0.639,8.0,0.86,0.83,8.0,0.639,0.64,,,,,,,
8,9.0,,0.89,23.0,H,9.0,0.89,0.92,0.667,9.0,0.94,0.86,9.0,0.6940000000000001,0.75,,,,,,,
9,10.0,,0.69,10.0,L,10.0,0.69,0.75,0.639,10.0,0.69,0.64,10.0,0.6940000000000001,0.69,,,,,,,
10,11.0,,0.75,8.0,L,11.0,0.81,0.69,0.8,11.0,0.72,0.81,11.0,,,,,,,,,
11,12.0,,0.78,13.0,M,12.0,0.67,0.67,0.5,12.0,0.0,,12.0,,,,,,,,,
12,13.0,,0.81,12.0,L,13.0,0.86,0.89,0.583,13.0,0.89,0.86,13.0,,,,,,,,,
13,14.0,,0.75,20.0,H,14.0,0.67,0.75,0.667,14.0,0.75,0.72,14.0,,,,,,,,,
14,15.0,,0.67,21.0,H,15.0,0.75,0.78,0.611,15.0,0.81,0.72,15.0,0.6940000000000001,0.56,,,,,,,
15,16.0,,0.75,13.0,M,16.0,0.83,0.83,0.639,16.0,0.78,0.81,16.0,0.778,0.72,,,,,,,
16,17.0,,0.9,0.0,L,17.0,0.67,0.73,0.694,17.0,0.77,0.81,17.0,0.667,0.5,,,,,,,
17,18.0,,0.67,28.0,H,18.0,0.67,0.7,0.5,18.0,0.87,0.77,18.0,0.639,0.61,,,,,,,
18,19.0,,0.63,13.0,M,19.0,0.6,0.7,0.583,19.0,0.0,,19.0,,,,,,,,,
19,20.0,,0.89,7.0,L,20.0,0.86,0.86,0.583,20.0,0.89,0.86,20.0,0.556,0.75,,,,,,,
20,21.0,,0.83,23.0,H,21.0,0.81,0.81,0.722,21.0,0.86,0.7,21.0,0.639,0.69,,,,,,,
21,22.0,,0.72,24.0,H,22.0,0.78,0.72,0.806,22.0,0.69,0.72,22.0,0.722,0.92,,,,,,,
22,23.0,,0.69,26.0,H,23.0,0.75,0.75,0.639,23.0,0.67,0.64,23.0,0.722,0.47,,,,,,,
23,,1.0,0.86,11.0,L,24.0,0.81,0.86,0.694,24.0,0.86,0.89,24.0,0.667,0.64,,,,,,,
24,,2.0,0.75,13.0,M,25.0,0.89,0.86,0.667,25.0,0.89,0.83,25.0,0.889,0.64,,,,,,,
25,,3.0,0.81,25.0,H,26.0,0.81,0.89,0.611,26.0,0.86,0.78,26.0,0.556,0.86,,,,,,,
26,,4.0,0.53,7.0,L,27.0,0.72,0.69,0.528,27.0,0.69,0.64,27.0,0.722,0.86,,,,,,,
27,,5.0,0.75,28.0,H,28.0,0.72,0.67,0.778,28.0,0.58,0.61,28.0,0.722,0.64,,,,,,,
28,,6.0,0.83,14.0,M,29.0,0.72,0.69,0.778,29.0,0.72,0.78,29.0,0.917,0.72,,,,,,,
29,,7.0,0.87,8.0,L,30.0,0.8,0.77,0.639,30.0,0.73,0.77,30.0,0.861,0.61,,,,,,,
30,,8.0,0.7,13.0,M,31.0,0.5,0.53,0.778,31.0,0.47,0.4,31.0,0.6940000000000001,0.67,,,,,,,
31,,9.0,0.78,10.0,L,32.0,0.89,0.86,0.694,32.0,0.89,0.83,32.0,0.667,0.69,,,,,,,
32,,10.0,0.73,12.0,L,33.0,0.77,0.77,0.722,33.0,0.77,0.7,33.0,0.583,0.81,,,,,,,
33,,11.0,0.42,11.0,L,34.0,0.47,0.56,0.5,34.0,0.42,0.58,34.0,0.861,,,,,,,,
34,,12.0,0.69,16.0,M,35.0,0.72,0.75,0.778,35.0,0.64,0.58,35.0,0.722,,,,,,,,
35,,13.0,0.67,20.0,H,36.0,0.81,0.78,0.833,36.0,0.78,0.78,36.0,0.8059999999999999,,,,,,,,
36,,14.0,0.5,25.0,H,37.0,0.69,0.64,0.7,37.0,0.0,,37.0,,,,,,,,,
37,,15.0,0.79,16.0,M,38.0,0.75,0.75,0.7,38.0,0.75,0.71,38.0,,,,,,,,,
38,,16.0,0.44,31.0,H,39.0,0.64,0.64,0.533,39.0,0.58,0.64,39.0,,,,,,,,,
39,,17.0,0.72,9.0,L,40.0,0.72,0.72,0.639,40.0,0.67,0.75,40.0,,,,,,,,,
40,,18.0,0.42,,,41.0,0.61,0,0.667,41.0,0.61,,41.0,,,,,,,,,
